2014",,,,,,,,,,,,"Elevación del nivel del agua (nsnm)
2015",,,,,,,,,,,,Generación MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Observación
,,,,,,,,,,,,,,,,,,,,,,,,,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,2002m1,2002m2,2002m3,2002m4,2002m5,2002m6,2002m7,2002m8,2002m9,2002m10,2002m11,2002m12,2003m1,2003m2,2003m3,2003m4,2003m5,2003m6,2003m7,2003m8,2003m9,2003m10,2003m11,2003m12,2004m1,2004m2,2004m3,2004m4,2004m5,2004m6,2004m7,2004m8,2004m9,2004m10,2004m11,2004m12,2005m1,2005m2,2005m3,2005m4,2005m5,2005m6,2005m7,2005m8,2005m9,2005m10,2005m11,2005m12,2006m1,2006m2,2006m3,2006m4,2006m5,2006m6,2006m7,2006m8,2006m9,2006m10,2006m11,2006m12,2007m1,2007m2,2007m3,2007m4,2007m5,2007m6,2007m7,2007m8,2007m9,2007m10,2007m11,2007m12,2008m1,2008m2,2008m3,2008m4,2008m5,2008m6,2008m7,2008m8,2008m9,2008m10,2008m11,2008m12,2009m1,2009m2,2009m3,2009m4,2009m5,2009m6,2009m7,2009m8,2009m9,2009m10,2009m11,2009m12,2010m1,2010m2,2010m3,2010m4,2010m5,2010m6,2010m7,2010m8,2010m9,2010m10,2010m11,2010m12,2011m1,2011m2,2011m3,2011m4,2011m5,2011m6,2011m7,2011m8,2011m9,2011m10,2011m11,2011m12,2012m1,2012m2,2012m3,2012m4,2012m5,2012m6,2012m7,2012m8,2012m9,2012m10,2012m11,2012m12,2013m1,2013m2,2013m3,2013m4,2013m5,2013m6,2013m7,2013m8,2013m9,2013m10,2013m11,2013m12,
Schpoiná,null,3,2.24,0.56,16.314476,-92.426112,15Q,561305.09,1803807.72,,,,,Chiapas,Venustiano Carranza,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.47,581.86,552.63,555.24,744.58,1172.37,1191.11,795.52,1030.63,1108.63,761.15,643.5,533,484,484,526,694,908,951,786,1184,1130,988,677,533,471,504,531,707,885,674,646,762,1105,600,619,521.43,451.66,414.96,468.83,651.85,1071.07,1453.09,1313.03,1371.13,1457.01,1051.17,795.84,592.56,503.73,512.47,546.93,679.84,989.83,1037.99,1038.15,1208.83,1213.99,905.86,685.84,579.31,455,413.46,513.98,631.29,795.05,848.05,816.58,842.35,892.62,823.14,684.7,589.3,383.4,367.92,417.05,518.9,1022.87,1029.67,1003.8,891.23,1105.92,667.36,534.09,467.07,436.15,397.35,425.67,731.66,793.43,674.93,701.02,950.86,909.78,766.41,628.88,618.72,496.35,385.41,442.52,661.39,789.92,1391.06,1365.93,1364.67,1376,1013.36,803.74,708.04,409.12,441.97,417.92,432.25,780.03,1216.45,1167.31,1301.81,1428.53,1041.53,739.75,617.55,509.02,431.48,453.92,744.25,1050.86,876.37,1170.77,1272.54,1190.99,836.16,551.95,505.2,361.64,386.98,369.12,626.86,901.63,1142.88,987.22,1321.15,1367.17,1252.67,889.82,
Tamazulapan,null,2,2.48,0.35,17.686836,-97.617838,14Q,646587.06,1956076.09,,,,,Oaxaca,Tamzulapan del Espíritu Santo,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691.18,617.15,613.84,536.34,555.13,808.64,789.19,611.99,952.27,937.42,638.95,748.7,704,590,551,524,615,824,556,535,912,840,512,587,628,496,461,471,652,875,663,653,618,907,639,546,624.54,542.64,507.74,528.34,520.5,409.77,692.89,542.54,665.77,598.75,444.06,512.34,504.24,412.91,406.43,351.95,535.06,615.55,433.99,548.56,598.89,362.11,372.73,432.31,406.45,362.23,197.55,334.43,376.28,543.98,604.39,530.93,596.11,505.83,298.63,387.05,347.66,291.42,255.8,258.8,337,448.74,569.35,592.2,576.18,396.48,391.75,438.56,389.73,346.05,309.96,295.73,485.36,473.15,514,253.12,846.64,646.3,403.23,484.06,501.01,401.13,286.9,277.85,289.03,361.15,862.47,796.35,813.07,845,864.51,857.9,852.9,731.78,662.92,651,677.28,690.87,780.62,777.93,899.27,744.68,714.21,642.13,691.64,624.84,622.91,641.36,628.27,530.71,751.34,755.48,699.7,783.78,703.23,744.29,742.28,622.27,698.93,526.83,496.83,833.9,792.02,520.02,911.41,915.37,746.74,577.12,
Puente Grande,Puente Grande,1,9,0.36,20.57038,-103.14758,13Q,693091.1,2275698.42,Río Santiago,Río Santiago 1,Lerma Santiago Pacífico,Lerma - Santiago,Jalisco,Tonalá,Occidental,0,Mampostería,Rígida de Gravedad,1.5,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,180,17,0,13.5,414.41,4082.7,4616.32,2678.14,446.88,478.75,260,151,180,21,46,45,992,1800,3789,7158,1661,414,318,420,452,416,314,243,6202,3669,3126,5136,3244,969,462,719,665,928,794,478,332,4731.12,4026.63,3037.9,1349,1332.46,499,549,473,441,394,291,1830,1858,5431.71,2957.13,3333.47,984,809,880,955,867,926.04,378,1495.93,4463.35,7020.28,5574.96,1947.7,653.43,1361.45,780.76,1323.03,957.62,881.53,661.49,4343.72,6095.75,5662,5759,3563.88,864,1227,1467,1410,1561,1573,951,1737,2611,3181,2932,1681,641,875,1332,2750,1882,1374,890,2461,6782,5628,5025,1230,287,910,1512,1630,1840,1984,1048,1947,5006,5112,2530,1656,337,741,835,2676,1722,1206,962,2686,5775,3709,3361,1356,0,764,1873,1294,1367,898,716,2724,3208,3149,6069,3211,2152,1181,
Electroquímica,null,1,1.44,0.51,22.09996,-99.152416,14Q,484278.53,2443899.06,,,,,San Luis Potosí,Ciudad Valles,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,814.8,744,731.28,496.08,373.44,378.24,886.08,964.8,958.08,966,952.8,992.16,923,800,845,738,430,0,835,946,911,909,931,987,944,775,548,0,884,917,868,871,936,946,891,908,808.08,726.72,831.6,627.6,489.6,476.88,964.56,696.48,735.09,794.4,934.32,954,929.04,804,834.76,669.36,544.72,418.52,909.12,885.36,837.98,746.4,840.72,887.76,852.96,548.88,813.36,653.52,705.8,752.16,800.4,848.88,816.96,885.81,861.12,885.36,883.2,792,816.48,814.08,751.92,288.96,684.72,768.24,831.6,826.32,762.48,835.2,888,744.24,823.92,797.04,569.52,777.12,783.84,781.68,782.4,802.56,747.6,723.84,805.44,776.88,863.28,832.08,869.23,810.24,913.2,916.8,877.08,916,890.4,878,877.2,785.52,848.4,812.64,815.28,788.88,833.28,830.68,751.44,829.92,768.48,0,8.88,675.36,752.16,733.92,774.72,741.84,777.12,768.72,777.84,878.64,809.04,653.76,812.88,732.96,812.16,686.64,732.48,749.52,752.4,801.12,790.8,811.2,212.88,111.84,
San Pedro Poruas,null,2,2.56,0.29,19.402649,-101.319866,14Q,256374.58,2147019.51,,,,,Michoacán,Villa Madero,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.06,306.75,229.73,211.6,198.65,259.25,461.85,511.24,523.93,788.01,403.58,470.57,614,363,299,212,191,390,638,647,663,858,586,288,417,325,306,249,237,436,740,764,734,774,638,390,431.63,287.01,298.68,217.23,195.03,234.13,475.14,759.97,740.83,824.18,756.68,397.18,307.15,365.38,306.19,230.71,257.42,458.92,642.27,957.07,912.98,1049.27,1029.16,780.29,585.5,493.69,333.39,185.11,241.05,413.72,631.07,702.12,423.46,805.95,663.69,548.3,435.98,310.6,243.64,194.91,190.19,257.04,642.55,717.16,684.48,927.26,530.88,180.48,358.31,260.62,155.41,159.71,185.38,231.8,563.55,656.39,971.33,889.86,613.84,407.37,346.07,793.19,634.82,300.09,211.69,254.37,805.56,989.27,967.72,1111,857.24,649.37,510.46,347.54,320.9,41.25,192.84,233.27,770.53,1054.75,1017.45,965.3,603.79,505.18,390.74,249.32,105.89,98.35,130.09,217.71,610.56,797.01,988.98,784.61,572.3,216.38,354.83,246.14,158.15,154.89,104.44,198.79,492.92,679.89,764.86,1085.09,585.99,737.73,
Portezuelo II,null,null,0,null,18.924099,-98.342689,14Q,569214.43,2092557.97,,,,,Puebla,Atlixco,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,425,413,245,370,245,173,415,324,161,360,367,485,319,266,0,276,451,451,58,0,0,0,295,417.6,408,393.6,396,436.8,439.2,456,211.2,0,259.2,432,465.6,453.6,432,489.6,398.4,410.4,266.4,0,0,0,345.6,408,386.4,477.6,436.8,492,472.8,484.8,465.6,492,86.4,0,79.2,460.8,410.4,338.4,453.6,444,460.8,480,376.8,424.8,16.8,0,0,410.4,480,494.4,465.6,496.8,441.6,417.6,470.4,199.2,0,0,0,0,0,88.8,516,602.4,540,588,535.2,328.8,0,0,108,612,540,530.4,518.4,523.2,552,578.4,566.4,540,268.8,7.2,436.8,0,192,597.6,588,588,566.4,583.2,537.6,427.33,177.6,225.6,504,566.4,554.4,585.6,518.4,501.6,568.08,521.52,532.8,544.8,588,556.8,170.4,302.52,568.8,
Tirio,null,3,1.1,0.31,19.629724,-101.258937,14Q,263108,2172076.77,,,,,Michoacán,Morelia,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.05,263.94,262.58,233.06,151.44,222.02,207.83,233.53,228.02,257.54,304.63,273.72,332,295,206,237,281,107,110,294,343,404,311,286,298,293,105,226,301,301,201,321,352,397,78,86,245.91,288.2,273.41,295.78,170.13,74.9,231.63,280.54,256.72,379.43,195.39,312.05,238.58,211.43,257.76,189.74,159.62,117.73,187.3,338.54,275.72,479.77,171.68,259.11,305.23,256.57,310.66,248.76,191.4,70.57,194.04,356.06,397.81,431.62,175.95,237.35,174.61,285.31,122.19,274.68,97.68,83.84,270.29,257.5,231.62,192.72,65.59,99.16,151.28,233.41,295.45,104.81,79.66,79.75,123.98,247.82,301.33,312.17,265.43,268.18,111.52,89.15,106.72,112.56,80.71,183.76,368.8,337.14,488.27,509,150.06,274.51,420.58,318.68,311.65,231.67,186.14,73.82,271.94,335.53,389.7,364.48,122.53,288.18,304.31,242.1,240.28,193.09,122.75,111,271.43,316.03,411.13,402.11,294.51,266.49,284.7,210.04,185.44,224.43,86.66,27.91,234.05,145.3,160.94,439.77,409.19,255.91,
Santa Barbará,null,null,0,null,null,null,null,null,null,,,,,,,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1904,2020,1820,1517,1311,1247,0,0,6064,15882,12110,2104,585,662,1971,4546,6244,16132,10626,8843,10658,15269,6533,5147,5396.03,4068.25,4691.42,3434.28,2944.08,4530.12,5994.89,7101.26,4473.52,906.57,446.84,407.91,242.07,159.23,491.09,401.41,791.03,850.65,855.21,2554.58,3307.99,544.8,1054.01,0,178.29,560.76,158.61,447.15,374.84,688.95,556.03,3353.94,8429.34,3116.71,3461.83,0,0,0,0,0,0,0,0,753.13,1111.2,76.38,0,45.1,0,0,0,0,516.49,1161.46,957.46,273.71,1604.7,54.46,0,0,0,387.11,0,326.22,256.63,360.4,2940.39,4641.87,12117.29,2254,0,0,0,49.45,1034.94,0,0,0,0,0,282.42,701.59,0,0,0,123.5,143.17,287.36,0,0,0,197.93,0,0,0,0,0,0,0,0,0,0,0,0,593.71,441.05,0,0,
Itzicuáro,Itzicuáro,2,0.62,0.47,19.580372,-102.430151,13Q,769597.17,2167055.48,,,,,Michoacán,Periban de Ramos,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344.05,326.1,362.13,333.84,352.04,357.43,385.53,396.89,401.63,391.74,223.9,361.59,378,346,376,304,254,348,368,401,392,390,219,378,396,360,367,354,352,367,370,400,396,421,216,403,366.85,365.59,393.32,350.12,356.69,327.73,374.19,416.67,422.55,436.99,229.4,406.25,372.01,340.75,357.91,350.82,373.75,367.21,373.05,391.28,399.58,404.09,346.66,337.77,358.65,330.3,349.29,326.29,334.29,328.28,342.44,330.5,180.62,0,0,78.58,335.87,314.08,334.91,315.98,321.07,334.66,366.63,361.31,359.91,265.55,365.2,364.28,368.12,297.19,345.7,327.96,339.64,337.02,358.64,361.95,350.03,317.88,347.98,355.54,344.45,310.22,338.22,313.23,339.71,311.05,383.92,382.8,316.07,359,396.98,400.42,392.58,354.12,212.27,360.16,364.7,350.87,366.47,344.47,347.08,367.34,356.53,312.31,350.75,323.81,262,282.5,240.56,156.96,161.33,172.15,180.95,93.36,125.97,134.89,143.91,149.8,255.59,271.91,281.94,285.9,310.59,297.21,297,227.39,156.57,192.32,
Bartolinas,null,2,0.65,0.39,19.19625,-101.45037,14Q,242340.48,2124355.03,,,,,Michoacán,Tacámbaro de Codallos,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2612.52,2109.07,2253.47,1819.73,1857.39,2290.14,2625,2512.83,2767.98,2929.08,2847.73,2755.68,2741,1745,1759,1715,1694,2448,2668,2368,2873,2385,2958,2956,2743,2117,1680,1693,2491,2725,2607,2777,2868,3164,3032,2655,2103.26,1567.93,1580.67,1437.79,1521.39,2253.08,3042.9,3096.68,2992.08,2189.23,3027.84,2660.48,2638.4,2009.79,1951.41,1688.72,1679.35,2883.54,3024.78,2888.26,2946.02,3046.08,2915.79,2922.01,2840.77,1868.78,1652.12,1662.84,1556.62,2173.13,2297.89,2663.17,2838.84,2543.41,25.62,2662.41,2640.74,1953.69,1968.41,1992.89,1773.06,2360.66,2720.86,2344.2,2898.76,2997.3,2779.99,2598.97,2443.09,2059.2,1950.21,1692.45,2214.98,1575.64,2320.51,2289.02,1655.41,2138.56,2006.95,2389.53,2542.76,1744.19,1710.46,1628.71,1699.51,1404.38,2186.52,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1532.97,2904.89,2498.82,1645.89,2216.92,2274.38,2177.6,2280.51,2268.09,2485.82,2455.59,2704.58,2528.72,2534.11,2617.46,2178.84,2129.52,1864.31,1761.39,2493.4,2748.23,2818.7,2323.31,2487.02,2650.03,2772.87,
Micos,null,2,0.69,0.42,22.103558,-99.156477,14Q,483860.05,2444297.74,,,,,San Luis Potosí,Ciudad Valles,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.93,118.8,0,0,0,120.34,308.09,327.47,304.58,327.02,313.97,309.92,310,220,6,8,94,325,335,292,310,332,160,320,329,257,242,209,16,155,324,349,339,364,313,232,116.71,79.65,1.66,0,49.68,58.79,297.45,439.02,344.06,443.45,427.36,275.4,160.89,5.98,0,0,81.13,107.68,0,299.81,344.9,364.14,351.65,353.14,299.07,176.09,0,0,0,85.52,354.78,350.26,289.48,308.48,312.68,315.24,315.95,266.96,276.43,152.68,46.58,257.62,165.56,166.1,221.44,202.07,172.66,141.48,127.08,112.09,124.96,118.35,176.94,120.62,162.43,113.4,182.39,238.73,214.29,158.54,58.05,120.82,133.83,133.29,141.12,110.75,313.81,329.08,317.07,330,320.81,318.23,309.58,259.87,180.54,148.05,148.75,145.48,326.32,325.73,315.85,319.92,51.06,258.6,255.49,141.59,131.9,129.26,130.73,86.99,170.3,239.26,238.93,218.88,211.94,220.3,214.92,195.68,191.72,100.49,0.79,0,95.18,241.25,256.34,261.61,238.61,250.47,
Colina,null,1,3,0.27,27.576279,-105.382013,13R,462293.46,3050324.26,,,,,Chihuahua,San Francisco de Conchos,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,879,1122,1003,1030,1036,586,0,0,0,0,0,0,339,674,793,836,554,0,460,0,0,0,0,48.61,589.79,770.5,954.44,1390.59,1375.97,585.55,561.44,0,0,0,0,56.51,1575.27,1658.19,1593.78,1511.76,1090.58,207.8,0,0,0,0,0,459.7,1292.15,1579.37,1583.06,1301.39,1175.48,990.54,1392.85,175.51,0,0,0,510.64,1504.24,1477.76,1432.36,1363.46,1091.06,795.06,0,0,0,0,0,622.14,1173.95,1250.29,1434.79,1545.36,1617,1228.91,1230.91,0,0,0,0,160.07,1153.76,1112.31,1459.07,1539.06,873.76,1208.41,1184.17,209,0,0,0,404.5,1416.3,1460.28,1509.73,1484.06,1513.78,1502.78,914.36,0,0,0,0,65.59,1279.29,1495.55,1527.68,1462.56,1516.02,1519.34,1424.65,0,0,0,0,0,665.27,971.15,1126.29,1110.6,646.82,743.32,358.59,0,0,0,
null,Intermedia (Luis M. Rojas),1,5.32,0.15,20.70437,-103.26471,13Q,680722.39,2290422.85,Río Santiago,Río Santiago 1,Lerma Santiago Pacífico,Lerma - Santiago,Jalisco,Tonalá,Occidental,44.5,Concreto,Rígida de Gravedad,0.9,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.16,75.78,31.48,0.42,16.14,123.92,1399.82,1731.71,1036.24,194.85,201.71,98.35,79,72,0,0,7,444,1028,2206,3828,1418,220,90,167,144,0,40,43,2305,1455,1414,2582,1941,313,136,187.36,210.63,0,41.78,77.51,96.38,1808.14,1699.05,1649.38,330.87,264.95,47.54,60.31,44.34,0,109.03,71.2,590.49,570.27,1906.21,919.29,1087.52,347.42,199.47,263,251.01,0,173.25,111.31,447.61,1404.24,2863.19,2426.52,497.94,304.08,302.36,142.55,287.51,11.15,91.01,153.2,1363.09,3167.76,2391.06,3969.08,1109.71,295.82,253.29,330.96,277.18,0,255.88,200.3,421.83,806.41,859.4,854.74,449.43,137.06,176.86,295.6,1059.74,0,0,0,249.38,3593.78,3186.9,2377.09,469,142.3,188.49,364.81,376.12,49.5,433.54,245.5,563.69,2025.3,1856.91,701.11,486.8,239.79,131.4,180.17,690.94,172.96,210.93,210.44,725.47,2302.97,1240.3,982.44,312.44,161.92,155.73,463.9,267.29,154.14,168.42,73.04,685.88,1355,930.88,1450.81,0,453.33,466.02,
La Boquilla,La Boquilla,4,25,0.27,27.54464,-105.41407,13R,458881.83,3046874.15,Río Conchos,Río Conchos 1,Río Bravo,Bravo-Conchos,Chihuahua,S. Fco.Conchos,Norte,82,Mampostería,Rígida de Gravedad,2893.57,,Generación eléctrica,Asísmica,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,382.4,6958.94,7546.97,4750.66,773.52,348.53,2390.42,7985.29,0,0,0,0,0,5903,7555,7660,2194,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valle De Bravo ,El Durazno,2,0,null,19.19413,-100.20819,14Q,372975.54,2122757.63,Río Tilostoc,Balsas,Balsas,Balsas,México,V. de Bravo,Central,6,Concreto,Rígida de Gravedad,0,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,532.36,487.03,585.47,1207.82,4671.45,5163.46,2713.87,6299.56,7691.61,4490.64,570.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Tezcapa,null,null,0,null,null,null,null,null,null,,,,,,,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,36.48,0,0,0,854.64,2381.52,948.32,698.88,585.12,82.24,858.4,0,0,289.6,0,682.4,980,863.6,1433.28,1487.6,680.64,715.04,280.4,0,600.96,1509.2,846,2063.52,855.6,1305.28,947.52,289.76,846.56,2153.52,2814.08,2459.6,365.52,2209.2,229.04,0,48.8,1839.6,0,109.12,547.2,208.96,0,500.8,341.6,0,0,0,0,118.08,0,0,0,424.64,875.04,0,0,0,0,0,1558.8,2106.8,2093.2,2291.92,1174,553.04,1909.52,1707.08,1637.66,544.35,596.36,2803.77,2604.43,1391.2,301.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Las Juntas,Las Juntas,null,0,null,20.72192,-103.28127,13Q,678974.71,2292322.53,Río Santiago,Río Santiago 1,Lerma Santiago Pacífico,Lerma - Santiago,Jalisco,Tonalá,Occidental,0,Concreto,Rígida de Gravedad,1.5,,Generación eléctrica,Media Sísmisidad,CFE y CONAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.87,299.69,3909.84,3953.57,2342.78,406.08,448.27,200.78,163,186,0,0,24,1076,2287,4161,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Villada,null,null,0,null,null,null,null,null,null,,,,,,,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.99,202.45,135.87,57.6,135.71,255.1,111.32,0,452.31,447.93,491.82,423.55,328,249.59,202.5,146.32,173.5,311.07,408.36,126.99,0,0,4.66,386.5,307.66,254.21,216.6,169.59,182.8,187.48,52.53,0,0,225.86,279.57,245.05,154.46,147.35,170.76,106.76,144.69,125.79,275.12,347.14,0,0,0,278.48,224.36,195.07,184.28,130.26,53.12,159.57,337.79,250.19,202.36,411.88,71.48,0,0,0,0,0,0,0,0,130.85,457.6,478.97,389.79,303.46,154.38,58.32,167.12,96.87,107.59,110.11,162.65,335.49,365.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Fernández Leal,null,null,0,null,null,null,null,null,null,,,,,,,,,,,,,,,CFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.36,129.25,0,118.2,155.39,333.91,584.8,617.11,633.71,651.84,615.06,482.86,321.07,282.6,217.86,233.42,255.67,392.3,457.79,484.59,587.97,529.13,442.9,366.71,218.77,0,0,0,0,0,0,0,0,0,0,295.28,150.17,0,0,0,0,0,0,0,253.58,564.26,377.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.97,659.89,376.42,0,0,0,0,0,0,89.62,149.84,109.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
